date,category,subcategory,name,price,url
2026-03-19,GPU,RTX 5070 Ti,ZOTAC GAMING 지포스 RTX 5070 Ti AMP Extreme Infinity D7 16GB,1747480,https://prod.danawa.com/info/?pcode=76464395&cate=112753
2026-03-19,GPU,RTX 5070,PALIT 지포스 RTX 5070 INFINITY 3 D7 12GB 이엠텍,1023700,https://prod.danawa.com/info/?pcode=79402577&cate=112753
2026-03-19,GPU,RTX 5070,MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,1116790,https://prod.danawa.com/info/?pcode=77379380&cate=112753
2026-03-19,GPU,RTX 5070,ZOTAC GAMING 지포스 RTX 5070 SOLID OC D7 12GB,1068940,https://prod.danawa.com/info/?pcode=77319413&cate=112753
2026-03-19,GPU,RTX 5070,MSI 지포스 RTX 5070 벤투스 2X OC D7 12GB,988890,https://prod.danawa.com/info/?pcode=77379452&cate=112753
2026-03-19,GPU,RTX 5060 Ti,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,633260,https://prod.danawa.com/info/?pcode=89732453&cate=112753
2026-03-19,GPU,RTX 5060 Ti,PALIT 지포스 RTX 5060 Ti INFINITY 3 D7 16GB 이엠텍,879700,https://prod.danawa.com/info/?pcode=81037490&cate=112753
2026-03-19,GPU,RTX 5060 Ti,ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 16GB,905530,https://prod.danawa.com/info/?pcode=81062540&cate=112753
2026-03-19,GPU,RTX 5060 Ti,이엠텍 지포스 RTX 5060 Ti MIRACLE WHITE D7 16GB,907530,https://prod.danawa.com/info/?pcode=91189013&cate=112753
2026-03-19,GPU,RTX 5060,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,603700,https://prod.danawa.com/info/?pcode=90956033&cate=112753
2026-03-19,GPU,RTX 5060,PALIT 지포스 RTX 5060 DUAL OC D7 8GB 이엠텍,576000,https://prod.danawa.com/info/?pcode=90887879&cate=112753
2026-03-19,GPU,RTX 5060,GAINWARD 지포스 RTX 5060 고스트 D7 8GB,592530,https://prod.danawa.com/info/?pcode=90892928&cate=112753
2026-03-19,GPU,RTX 5060,ZOTAC GAMING 지포스 RTX 5060 Twin Edge OC D7 8GB,581650,https://prod.danawa.com/info/?pcode=91910279&cate=112753
2026-03-19,GPU,RX 9070 XT,XFX 라데온 RX 9070 XT SWIFT D6 16GB,1096340,https://prod.danawa.com/info/?pcode=77378288&cate=112753
2026-03-19,GPU,RX 9070 XT,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,1422700,https://prod.danawa.com/info/?pcode=77378093&cate=112753
2026-03-19,GPU,RX 9070 XT,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,1179780,https://prod.danawa.com/info/?pcode=77461292&cate=112753
2026-03-19,GPU,RX 9070 XT,SAPPHIRE 라데온 RX 9070 XT PURE OC D6 16GB,1336800,https://prod.danawa.com/info/?pcode=77381780&cate=112753
2026-03-19,GPU,RX 9070 XT,ASRock 라데온 RX 9070 XT 스틸레전드 D6 16GB 대원씨티에스,1243000,https://prod.danawa.com/info/?pcode=77318285&cate=112753
2026-03-19,GPU,RX 9070 XT,SAPPHIRE 라데온 RX 9070 XT PULSE D6 16GB,1287500,https://prod.danawa.com/info/?pcode=77378039&cate=112753
2026-03-19,GPU,RX 9060 XT,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 제이씨현,787930,https://prod.danawa.com/info/?pcode=91867763&cate=112753
2026-03-19,GPU,RX 9060 XT,XFX 라데온 RX 9060 XT SWIFT DUAL OC D6 16GB,710000,https://prod.danawa.com/info/?pcode=92892695&cate=112753
2026-03-19,GPU,RX 9060 XT,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,659730,https://prod.danawa.com/info/?pcode=91909763&cate=112753
