date,category,subcategory,name,price,url
2026-04-17,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),921210,https://prod.danawa.com/info/?pcode=77790914&cate=112747
2026-04-17,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),577080,https://prod.danawa.com/info/?pcode=70531547&cate=112747
2026-04-17,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),390230,https://prod.danawa.com/info/?pcode=19627934&cate=112747
2026-04-17,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),276270,https://prod.danawa.com/info/?pcode=62794079&cate=112747
2026-04-17,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),347012,https://prod.danawa.com/info/?pcode=104223188&cate=112747
2026-04-17,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),,https://prod.danawa.com/info/?pcode=21694499&cate=112747
2026-04-17,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),207460,https://prod.danawa.com/info/?pcode=14927675&cate=112747
2026-04-17,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),459810,https://prod.danawa.com/info/?pcode=69059687&cate=112747
2026-04-17,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),330000,https://prod.danawa.com/info/?pcode=69059753&cate=112747
2026-04-17,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),517390,https://prod.danawa.com/info/?pcode=108424286&keyword=270k+plus&cate=113973
2026-04-17,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),358380,https://prod.danawa.com/info/?pcode=108424451&keyword=250k+plus&cate=113973
2026-04-17,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),378110,https://prod.danawa.com/info/?pcode=28799654&cate=112747
2026-04-17,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),253730,https://prod.danawa.com/info/?pcode=76555634&cate=112747
2026-04-17,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),317890,https://prod.danawa.com/info/?pcode=18911780&cate=112752
