date,gpu_group,count,avg_price,min_price,max_price
2026-05-04,RTX 5090,4,6393855,6241250,6700000
2026-05-04,RTX 5080,4,2175470,2053500,2297370
2026-05-04,RTX 5070 Ti,4,1615308,1548000,1715250
2026-05-04,RTX 5070,4,1015335,948220,1088610
2026-05-04,RTX 5060 Ti,4,787200,562000,930620
2026-05-04,RTX 5060,4,501570,489660,508400
2026-05-04,RX 9070 XT,6,1159383,1062380,1331960
2026-05-04,RX 9060 XT,3,629430,608000,654000
