date,category,subcategory,name,price,url
2026-05-05,GPU,RTX 5070 Ti,ZOTAC GAMING 지포스 RTX 5070 Ti SOLID OC D7 16GB,1746090,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=76464143
2026-05-05,GPU,RTX 5070 Ti,MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,1711410,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=90160715
2026-05-05,GPU,RTX 5070 Ti,이엠텍 지포스 RTX 5070 Ti MIRACLE WHITE D7 16GB,1668900,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77020520
2026-05-05,GPU,RTX 5070 Ti,ZOTAC GAMING 지포스 RTX 5070 Ti AMP Extreme Infinity D7 16GB,1883670,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=76464395
2026-05-05,GPU,RTX 5070,PALIT 지포스 RTX 5070 INFINITY 3 D7 12GB 이엠텍,1046980,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=79402577
2026-05-05,GPU,RTX 5070,MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,1137580,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77379380
2026-05-05,GPU,RTX 5070,ZOTAC GAMING 지포스 RTX 5070 SOLID OC D7 12GB,1129750,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77319413
2026-05-05,GPU,RTX 5070,MSI 지포스 RTX 5070 벤투스 2X OC D7 12GB,1012300,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77379452
2026-05-05,GPU,RTX 5060 Ti,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,589000,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=89732453
2026-05-05,GPU,RTX 5060 Ti,PALIT 지포스 RTX 5060 Ti INFINITY 3 D7 16GB 이엠텍,936240,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=81037490
2026-05-05,GPU,RTX 5060 Ti,ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 16GB,,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=81062540
2026-05-05,GPU,RTX 5060 Ti,이엠텍 지포스 RTX 5060 Ti MIRACLE WHITE D7 16GB,,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=91189013
2026-05-05,GPU,RTX 5060,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,531320,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=90956033
2026-05-05,GPU,RTX 5060,PALIT 지포스 RTX 5060 DUAL OC D7 8GB 이엠텍,522000,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=90887879
2026-05-05,GPU,RTX 5060,GAINWARD 지포스 RTX 5060 고스트 D7 8GB,519000,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=90892928
2026-05-05,GPU,RTX 5060,ZOTAC GAMING 지포스 RTX 5060 Twin Edge OC D7 8GB,525730,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=91910279
2026-05-05,GPU,RX 9070 XT,XFX 라데온 RX 9070 XT SWIFT D6 16GB,1166670,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77378288
2026-05-05,GPU,RX 9070 XT,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,1450780,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77378093
2026-05-05,GPU,RX 9070 XT,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,1096200,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77461292
2026-05-05,GPU,RX 9070 XT,SAPPHIRE 라데온 RX 9070 XT PURE OC D6 16GB,1330390,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77381780
