date,category,subcategory,name,price,url
2026-05-03,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),967500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480
2026-05-03,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),567500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400
2026-05-03,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),370000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843
2026-05-03,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),281000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055
2026-05-03,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),350900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313
2026-05-03,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),187000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764
2026-05-03,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),189000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681
2026-05-03,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),496500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677
2026-05-03,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),340900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680
2026-05-03,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),517000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1334275
2026-05-03,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),358000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1334276
2026-05-03,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),390000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414
2026-05-03,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),254600,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1215660
2026-05-03,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),355000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=990235
2026-05-03,RAM,DDR5 (16GB),ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),325000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=977732
2026-05-03,RAM,DDR5 (16GB),SK하이닉스 DDR5-5600 (16GB),369000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1004773
2026-05-03,RAM,DDR5 (16GB),마이크론 Crucial DDR5-5600 CL46 대원씨티에스 (16GB),305000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1123155
2026-05-03,RAM,DDR5 (16GB),Apacer DDR5-5600 CL46 (16GB),313000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1293860
2026-05-03,RAM,DDR4 (16GB),삼성전자 DDR4-3200 (16GB),261000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=681708
