date,category,subcategory,name,price,url
2026-03-27,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),985000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480
2026-03-27,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),639000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400
2026-03-27,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),435000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843
2026-03-27,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),298000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055
2026-03-27,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),347900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313
2026-03-27,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),216490,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764
2026-03-27,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),190500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681
2026-03-27,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),500000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677
2026-03-27,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),341000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680
2026-03-27,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),371000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414
2026-03-27,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),249300,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1215660
