date,category,subcategory,name,danawa_price,danawa_url,compuzone_price,compuzone_url,price_diff,cheaper
2026-03-22,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),984380,https://prod.danawa.com/info/?pcode=77790914&cate=112747,984500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480,120,다나와
2026-03-22,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),651960,https://prod.danawa.com/info/?pcode=70531547&cate=112747,649500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400,-2460,컴퓨존
2026-03-22,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),442080,https://prod.danawa.com/info/?pcode=19627934&cate=112747,445000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843,2920,다나와
2026-03-22,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),296380,https://prod.danawa.com/info/?pcode=62794079&cate=112747,304190,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055,7810,다나와
2026-03-22,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),352260,https://prod.danawa.com/info/?pcode=104223188&cate=112747,353500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313,1240,다나와
2026-03-22,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),195000,https://prod.danawa.com/info/?pcode=21694499&cate=112747,219000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764,24000,다나와
2026-03-22,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),197470,https://prod.danawa.com/info/?pcode=14927675&cate=112747,192500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681,-4970,컴퓨존
2026-03-22,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),491930,https://prod.danawa.com/info/?pcode=69059687&cate=112747,502500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677,10570,다나와
2026-03-22,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),340070,https://prod.danawa.com/info/?pcode=69059753&cate=112747,341000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680,930,다나와
2026-03-22,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),374550,https://prod.danawa.com/info/?pcode=28799654&cate=112747,369500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414,-5050,컴퓨존
