date,category,subcategory,name,danawa_price,danawa_url,compuzone_price,compuzone_url,price_diff,cheaper
2026-03-23,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),981780,https://prod.danawa.com/info/?pcode=77790914&cate=112747,985000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480,3220,다나와
2026-03-23,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),649620,https://prod.danawa.com/info/?pcode=70531547&cate=112747,649000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400,-620,컴퓨존
2026-03-23,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),441550,https://prod.danawa.com/info/?pcode=19627934&cate=112747,442400,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843,850,다나와
2026-03-23,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),305880,https://prod.danawa.com/info/?pcode=62794079&cate=112747,303690,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055,-2190,컴퓨존
2026-03-23,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),352100,https://prod.danawa.com/info/?pcode=104223188&cate=112747,347900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313,-4200,컴퓨존
2026-03-23,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),218380,https://prod.danawa.com/info/?pcode=21694499&cate=112747,218000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764,-380,컴퓨존
2026-03-23,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),201230,https://prod.danawa.com/info/?pcode=14927675&cate=112747,191000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681,-10230,컴퓨존
2026-03-23,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),491860,https://prod.danawa.com/info/?pcode=69059687&cate=112747,501000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677,9140,다나와
2026-03-23,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),335000,https://prod.danawa.com/info/?pcode=69059753&cate=112747,341000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680,6000,다나와
2026-03-23,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),374990,https://prod.danawa.com/info/?pcode=28799654&cate=112747,371500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414,-3490,컴퓨존
2026-03-23,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),244130,https://prod.danawa.com/info/?pcode=76555634&cate=112747,249300,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1215660,5170,다나와
2026-03-23,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),323970,https://prod.danawa.com/info/?pcode=18911780&cate=112752,350500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=990235,26530,다나와
2026-03-23,RAM,DDR5 (16GB),ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),327580,https://prod.danawa.com/info/?pcode=18965774&cate=112752,344470,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=977732,16890,다나와
2026-03-23,RAM,DDR5 (16GB),SK하이닉스 DDR5-5600 (16GB),318690,https://prod.danawa.com/info/?pcode=18883523&cate=112752,363800,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1004773,45110,다나와
