date,category,subcategory,name,danawa_price,danawa_url,compuzone_price,compuzone_url,price_diff,cheaper
2026-03-21,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),984700,https://prod.danawa.com/info/?pcode=77790914&cate=112747,985500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480,800,다나와
2026-03-21,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),652230,https://prod.danawa.com/info/?pcode=70531547&cate=112747,650000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400,-2230,컴퓨존
2026-03-21,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),442400,https://prod.danawa.com/info/?pcode=19627934&cate=112747,445000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843,2600,다나와
2026-03-21,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),296380,https://prod.danawa.com/info/?pcode=62794079&cate=112747,303690,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055,7310,다나와
2026-03-21,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),352300,https://prod.danawa.com/info/?pcode=104223188&cate=112747,352500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313,200,다나와
2026-03-21,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),195000,https://prod.danawa.com/info/?pcode=21694499&cate=112747,219000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764,24000,다나와
2026-03-21,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),197470,https://prod.danawa.com/info/?pcode=14927675&cate=112747,190000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681,-7470,컴퓨존
2026-03-21,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),491960,https://prod.danawa.com/info/?pcode=69059687&cate=112747,499500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677,7540,다나와
2026-03-21,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),340430,https://prod.danawa.com/info/?pcode=69059753&cate=112747,341000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680,570,다나와
2026-03-21,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),374550,https://prod.danawa.com/info/?pcode=28799654&cate=112747,370500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414,-4050,컴퓨존
