date,gpu_group,count,avg_price,min_price,max_price
2026-03-18,RTX 5090,4,6284685,6000860,6690000
2026-03-18,RTX 5080,4,2220252,2080480,2374490
2026-03-18,RTX 5070 Ti,4,1657132,1543430,1747580
2026-03-18,RTX 5070,4,1051280,994890,1117350
2026-03-18,RTX 5060 Ti,4,804550,633750,905620
2026-03-18,RTX 5060,4,589532,577400,605840
2026-03-18,RX 9070 XT,6,1261272,1096350,1423200
2026-03-18,RX 9060 XT,3,719420,659740,788520
