date,gpu_group,count,avg_price,min_price,max_price
2026-03-19,RTX 5090,4,6246958,6000770,6690000
2026-03-19,RTX 5080,4,2208795,2080360,2329000
2026-03-19,RTX 5070 Ti,4,1649352,1543430,1747480
2026-03-19,RTX 5070,4,1046882,988890,1106000
2026-03-19,RTX 5060 Ti,4,831508,633270,907530
2026-03-19,RTX 5060,4,585652,576000,597000
2026-03-19,RX 9070 XT,6,1261020,1096340,1422700
2026-03-19,RX 9060 XT,3,719220,659730,787930
