date,category,subcategory,name,danawa_price,danawa_url,compuzone_price,compuzone_url,price_diff,cheaper
2026-03-20,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),984900,https://prod.danawa.com/info/?pcode=77790914&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480,,
2026-03-20,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),654800,https://prod.danawa.com/info/?pcode=70531547&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400,,
2026-03-20,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),444160,https://prod.danawa.com/info/?pcode=19627934&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843,,
2026-03-20,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),306000,https://prod.danawa.com/info/?pcode=62794079&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055,,
2026-03-20,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),350870,https://prod.danawa.com/info/?pcode=104223188&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313,,
2026-03-20,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),219000,https://prod.danawa.com/info/?pcode=21694499&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764,,
2026-03-20,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),209900,https://prod.danawa.com/info/?pcode=14927675&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681,,
2026-03-20,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),491980,https://prod.danawa.com/info/?pcode=69059687&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677,,
2026-03-20,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),340900,https://prod.danawa.com/info/?pcode=69059753&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680,,
2026-03-20,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),368400,https://prod.danawa.com/info/?pcode=28799654&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414,,
2026-03-20,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),243000,https://prod.danawa.com/info/?pcode=76555634&cate=112747,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1215660,,
2026-03-20,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),317170,https://prod.danawa.com/info/?pcode=18911780&cate=112752,,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=990235,,
